rank,citation,decision,basis,abstract_pillar,study_type,sample_desc,outcome_indicator,tech_indicator,finding_tech,finding_affluence,displacement,supports_decoupling,decoupling_category,verification,doi,openalex_id
838,Aguir Bargaoui & Zouheir Nouri (2017),included,full text,tech_material,dynamic panel STIRPAT (GMM) testing environmental-sociology theories,"114 developed and developing countries, 1980-2010",CO2 emissions,energy efficiency (STIRPAT technology term); industry share; institutional and world-system variables,"energy efficiency reduces CO2 but growth dominates: 'current economic growth deteriorates environmental quality, even if we try to dematerialize our economies or to make changes at the institutional level'","population, affluence and industry share significantly increase CO2; EKC validated in one specification","world-system position tested (treadmill of destruction, world-system theory)",no,no,"abstract: 'Findings support the fact that our human society cannot be optimistic about achieving sustainability since the current economic growth deteriorates environmental quality, even if we try to dematerialize our economies or to make changes at the institutional level'",10.5171/2017.947798,https://openalex.org/W2756008540
870,Rasul & Hertwich (2023),included,full text,tech_material,"MRIO decomposition analysis (EXIOBASE), index decomposition and footprint analysis","global, 1995-2018, three periods; high-income vs lower-income regions",GHG emissions from primary metal production attributed to downstream final demand (carbon footprint of primary metals),energy efficiency of metal production; emission intensity; metal consumption intensity,improved energy efficiency drove emissions down substantially (-8.10 Gt in the last period); emission intensity turned into an upward driver (coal-based refining in China); metal consumption intensity fell in high-income regions (about -1.18 Gt per period),population and especially rising affluence drove emissions up in all regions and periods,consumption-based attribution; global production concentrated in China,"mixed: absolute decoupling of metal-related GHG in high-income regions in the most recent period, global emissions rising with GDP",mixed,"Results (PMC full text): 'Globally, the emission intensity changed from being a small downward driver in the first period (-0.36 Gt) to a notable upward driver in the last two periods (+1.21 and +1.97 Gt). Counterweighing these upward drivers improved energy efficiency ... driving down emissions substantially for all regions, particularly during the last period (-8.10 Gt)'; abstract: 'This absolute decoupling in industrialized countries is mainly driven by reduced metal consumption intensity and improved energy efficiency'",10.1021/acs.est.2c05857,https://openalex.org/W4372335609
871,Qiao et al. (2022),included,full text,tech_material,"STIRPAT panel, CS-ARDL (short and long run), with mediation channels",eight APEC member countries (period per data section; to confirm),ecological footprint,technological innovation; fiscal decentralisation; economic globalisation; energy use,fiscal decentralisation and technological innovation mitigate the ecological footprint (abstract),economic growth as a channel; sign to confirm at full text,not tested,technology reduces EF (panel econometrics; Tier C group),supports_technology_effect,abstract (screening record): 'The empirical results show that fiscal decentralization and technological innovation m[itigate the ecological footprint]' - full text (Europe PMC XML) available; results table not parsed in digest,10.3390/ijerph191610146,https://openalex.org/W4292295323
892,Engström & Kolk (2024),included,full text,tech_material,IPAT/STIRPAT-based projection (theoretical modelling),"global; climate (GHG) and land-use impacts, projections through the 21st century",GHG emissions (CO2e); arable/grazing land,"technology term T (extrapolated trends, STIRPAT-derived elasticities, IPCC-type forecasts)",the large amount of technological mitigation assumed in many forecasts makes affluence and population relatively irrelevant for climate impact; technology does not play that role for land use,affluence and population remain determinants of land-use impact; for climate they matter only if assumed technological mitigation fails,not_tested,conditional_model_based,conditional_model_based,"abstract (p.1): 'We argue that the large amount of technological mitigation assumed in many forecasts makes affluence and population relatively irrelevant for climate change. However, we also consider it likely that both factors will be determinants of land use impact in the 21st century'",10.1553/p-n5en-z38a,https://openalex.org/W4391437761
934,Bento (2023),included,abstract,tech_material,bottom-up appliance simulation to 2050,"global, decent living standards under a 1.5 C constraint",materials and energy demand of consumer goods,digital convergence and sharing of appliances (ICT-enabled),innovations could limit appliance growth to 135% and reduce energy demand by 28% by 2050,coded from abstract,not stated in abstract,conditional_model_based,conditional_model_based,"abstract: Abstract Access to modern energy services (entertainment, food preparation, etc) provided by consumer goods remains unequal, while growing adoption due to rising incomes in Global South increases energy demand and greenhouse gas emissions. The current model through which these energy services is provided is unsustainable and needs to evolve—a goal that emerging social and technological innovations can help to achieve. Digital convergence and the sharing economy could make access to appliances more affordable and efficient. This article estimates the effect of innovations around digital converg",10.1088/1748-9326/ad067e,https://openalex.org/W4387899264
1059,El Tinay (2024),included,abstract,displacement,cross-national EUE analysis by semi-periphery tiers,"non-core countries, 1996-2018",carbon emissions embodied in trade,none,"patterns of ecologically unequal exchange vary across semi-periphery tiers (semi-core, regional powers, secondary regional states)",coded from abstract,"patterns of ecologically unequal exchange vary across semi-periphery tiers (semi-core, regional powers, secondary regional states)",no (tiered displacement among non-core countries),displacement,"abstract: Social science research has been increasingly interested in the relationships between the environment and the economy. One critical research agenda – ecological unequal exchange – has explored the asymmetric flow of resources and unequal distribution of environmental harms across the world economy, particularly between high-income and low-income countries. However, research into the relationship between middle-income nations and low-income nations has been relatively minimal. This study, building off a world-systems taxonomy of core, semi-periphery, and periphery states, looks to extend resear",10.1080/23251042.2024.2309407,https://openalex.org/W4391474705
1187,Cohen et al. (2022),excluded: not assessable (full text not retrievable; abstract absent or without the direction of the finding),title only,,,,,,,,,,,[no abstract],10.1016/j.jmacro.2022.103397,https://openalex.org/W4205882102
1241,Dawo & Khalifa (2025),included,abstract,tech_material,method-of-moments quantile regression panel,"15 sub-Saharan African countries, 1970-2022",material footprint (trade-adjusted resource footprint),green innovation; environmental governance; renewable energy transition,"green innovation raises the material footprint, intensifying at higher quantiles; governance and renewable transition also raise it; GDP per capita lowers it",coded from abstract,not stated in abstract,no: green innovation associated with a higher material footprint,no,"abstract: This study examined how green innovation (GIN), environmental governance (EGR), and renewable energy transition (RET) influence trade-adjusted resource footprints (proxied by material footprint, MFP) in the top 15 Sub-Saharan African (SSA) countries from 1970 to 2022. After confirming the cross-sectional dependence and slope heterogeneity in the dataset, second-generation panel econometric techniques, including the cross-sectionally augmented Dickey–Fuller (CADF) unit root test and Kao cointegration test, were employed to establish stationarity and long-run equilibrium relationships. The Metho",10.3390/su17114907,https://openalex.org/W4410774557
1281,Bai & Givens (2021),excluded: full text: waste flows fall outside the listed biophysical indicators,full text,displacement,"cross-national panel (Prais-Winsten, PCSE, two-way fixed effects)","85 countries/regions, 2003-2013 (UN Comtrade HS 3915)",plastic waste imports and exports (value),none,not tested,higher plastic waste import associated with higher GDP per capita in non-high-income countries,nuanced evidence of EUE in plastic-waste trade between high-income and non-high-income countries,n/a,,abstract (p.265): 'The findings provide nuanced evidence of ecologically unequal exchange relationships between high-income countries and non-high-income countries in plastic waste trade',10.5195/jwsr.2021.1026,https://openalex.org/W3136209751
1293,Török (2024),included,full text,tech_material,"EU-27 panel (fixed effects, GDP regressed on RMC) with descriptive Eurostat trends and clustering","27 EU member states, 2014-2023","raw material consumption (RMC, consumption-based)","none: decoupling tested directly (resource productivity, material intensity)",resource productivity improved and material intensity fell; author labels the outcome relative decoupling although EU-27 RMC fell in absolute terms whilst GDP grew,not modelled as a driver (GDP is the dependent variable),"not_tested (RMC is consumption-based, so displacement is internalised)","absolute decline in EU-27 RMC 2014-2023 (consumption-based), described by the author as relative decoupling",supports_consumption_based,"p.10-11, Table 6: 'GDP in the EU significantly increased ... from 11,791 billion euros to 16,999 billion euros. In contrast, raw material consumption (RMC) decreased from 1565 million tons to 1419 million tons'",10.24294/jipd10396,https://openalex.org/W4405809301
1331,Bithas & Kalimeris (2022),included,abstract,tech_material,divergence indicators on long-term datasets,global and national levels,total and per-capita resource use vs material intensity,none: decoupling assessed directly,increasing divergence between total and per-capita resource use and material intensity: intensity falls whilst use grows,coded from abstract,not stated in abstract,relative_only,relative_only,"abstract: With the UN indicating that climate objectives are well off track, the dependency of the economy on resources remains a crucial issue demanding holistic consideration. As a key global sustainability issue, the linkage between resource use and economic growth has long been under heated debate. The increasing amount of resources used for economic growth has elevated environmentalists’ concerns over resource scarcity and environmental impacts, suggesting the existence of coupling between resources and the economy. In contrast, the declining Material Intensity (MI)—resources needed to produce one ",10.3390/su14031459,https://openalex.org/W4210425610
1342,Papież et al. (2022),included,abstract,tech_material,mixed-effects models on trend components,"over 130 countries, 1992-2019, HDI and income groups",fossil-fuel use measured as DMC and as material footprint,"renewable share, urbanisation, industrialisation, trade openness as determinants",stronger decoupling for DMC (elasticity 0.42) than for the material footprint (0.72); degree more homogeneous across groups under MF,coded from abstract,not stated in abstract,relative_only; weaker on a consumption basis,relative_only,"abstract: This study offers an in-depth analysis of decoupling economic growth from fossil fuel use in over 130 countries between 1992 and 2019. It also examines four potential fossil fuel use determinants: urbanisation, industrialisation, trade openness, and the share of renewable energy sources. To examine the analysed relationship, the mixed effect models are applied for the trend components of the series. Fossil fuel use is represented by two measures: domestic material consumption and material footprint. Countries are either clustered into four groups of human development tiers measured by the HDI ",10.1016/j.jclepro.2022.134856,https://openalex.org/W4308152359
1365,Xu et al. (2024),included,abstract,tech_material,coupling-decoupling framework,151 countries,CO2 emissions and material footprints vs human development,none: decoupling assessed directly,temporary decoupling prevalent and recoupling significant; net energy exporters with high HDI decouple CO2 more; low-HDI importers show coupling in material footprints,coded from abstract,not stated in abstract,mixed: temporary decoupling and recoupling,mixed,"abstract: • Comprehensive evaluation on the nexuses between CO 2 emissions, material footprints and human development. • The coupling and decoupling framework makes the dynamic evolution nexuses clearer. • The global trend of temporary decoupling is more prevalent and the trend of recoupling is significant. • Net energy exporting countries with high HDI have advantages to achieve decoupling of CO 2 emissions. • Net energy importing countries with low HDI shows a significant coupling trend in material footprints. In order to achieve the Sustainable Development Goals, it is necessary to actively promote a",10.1016/j.ecolind.2024.112229,https://openalex.org/W4399698505
1403,Hou et al. (2024),excluded: not assessable (full text not retrievable; abstract absent or without the direction of the finding),title only,,,,,,,,,,,[no abstract],10.1016/j.worlddev.2023.106423,https://openalex.org/W4387443332
1418,Kerr (2014),included,full text,tech_material,two-country comparative IPAT/Kaya decomposition with OECD-30 benchmarking,"Canada and Sweden, 1990-2009; technology components ranked across 30 OECD countries (2009)",CO2 emissions (energy-related),"Kaya technology components: fossil-fuel dependency, carbon intensity, conversion effect, energy intensity",Sweden partially decoupled growth from CO2 by moving away from fossil fuels; Canada remained carbon-intensive (29th of 30 OECD on energy intensity),GDP per capita rose in both; counterfactual exercises on population and affluence growth,not tested (production-based),"mixed: partial decoupling in Sweden via fuel switching, none in Canada",mixed,"p.131: 'Sweden and a few other OECD countries have managed to remain relatively prosperous while at least partially decoupling economic growth from CO2 emissions. On the other hand, Canada's economy remains particularly carbon intensive'",10.25336/p6w905,https://openalex.org/W1626762580
1446,Asada et al. (2020),included,full text,tech_material,MRIO-based RMC estimation (WIOD and Eora) with panel fixed-effects drivers model and SSP projections to 2050,37 middle- and high-income countries (partial sample 29); projections to 2050 under five SSPs,"biomass and fossil raw material consumption (RMC, consumption-based), per capita",none: drivers model (GDP elasticity of RMC assessed directly); domestic material consumption shares as structural drivers,not tested; authors call for technological bio-based innovation to reconfigure RMC drivers,"GDP positively related to fossil and biomass RMC in all models, fossil elasticity higher than biomass; projections show per-capita fossil RMC growth in most countries and scenarios",consumption-based indicator (RMC) internalises trade,no (GDP drives consumption-based fossil RMC; no absolute decline projected),no,"Section 3.1: 'GDP is positively related to RMC throughout all models in the present sample. The elasticity of fossil RMC is higher than that of biomass RCM'; abstract: 'if GDP continues to drive fossil RMC at its current magnitude, upcoming conditions are likely to ... increase, instead of decrease, fossil RMC'",10.1111/jiec.12988,https://openalex.org/W3006206289
1474,Infante-Amate et al. (2024),included,abstract,tech_material,long-run decoupling analysis by world region,world regions since 1870,GHG emissions vs augmented human development and GDP,none: decoupling assessed directly,"growth-impact decoupling more common in higher-income countries; not new, not exclusively Western and reversible; no world region reached a safe and just operating space",coded from abstract,not stated in abstract,mixed: reversible decoupling episodes,mixed,"abstract: • We examine decoupling between augmented human development index and greenhouse gas emissions since 1870. • Wellbeing-growth decoupling is more common in low-income countries, while growth-impact decoupling is more common in higher income countries. • Growth-impact decoupling, i.e., ‘green growth’, is not new nor exclusively Western, and has proved reversible. • No world region has reached a ‘safe and just operating space’ at any point in the last 150 years. Since the Industrial Revolution, modern economic growth has made the world increasingly (if unevenly) rich. This trajectory led to unpre",10.1016/j.worlddev.2024.106754,https://openalex.org/W4401604802
1516,Meyer et al. (2018),included,abstract,tech_material,global dynamic MRIO simulation (GINFORS),"global, world regions",raw material use and CO2 vs GDP,raw-material efficiency improvement scenarios with climate mitigation,absolute decoupling of resource use and CO2 from GDP possible at global level only with radical material-efficiency progress combined with extensive mitigation,coded from abstract,not stated in abstract,conditional_model_based,conditional_model_based,"abstract: Addressing climate change and natural resource depletion has been key to the international and national sustainability agenda for almost 30 years. Despite existing efforts, global CO2 emissions and raw material use levels continue to grow. This seems to suggest the need for more systemic approaches in environmental policy. Our paper contributes modelling results to assess the potential of efficiency improvements to achieve absolute decoupling of global raw material use and environmental impacts from economic growth. We apply the global, dynamic MRIO model GINFORS to simulate potential effects ",10.3390/su10061858,https://openalex.org/W2805449072
1542,Yang et al. (2024),excluded: not assessable (full text not retrievable; abstract absent or without the direction of the finding),title only,,,,,,,,,,,[no abstract],10.1016/j.ecolecon.2023.108092,https://openalex.org/W4390289385
1603,Ko & Lee (2022),included,abstract,tech_material,two-way fixed effects panel with coarsened exact matching,"29 European countries, 1996-2014",emission intensity (GHG per GDP) and GHG emissions,"carbon pricing instruments (emission trading, carbon tax) rather than technology",emission trading associated with lower emission intensity and lower GHG (strong decoupling); no support for carbon taxes,coded from abstract,not stated in abstract,mixed: policy-driven decoupling under emission trading,mixed,"abstract: Abstract This study explores why the levels of decoupling between greenhouse gas (GHG) emissions and economic growth vary across time and countries by examining to which extent carbon pricing instruments are driving this decoupling. We expect that the implementation of carbon pricing instruments facilitates decoupling, as they are designed to achieve cost‐efficient GHG reduction. We analyze a panel data of 29 European countries between 1996 and 2014 to examine the relationships between two carbon pricing instruments (emission trading (ETS) and carbon tax) and emission intensity (GHG emissions ",10.1111/ropr.12458,https://openalex.org/W3211126049
1682,Baigorri et al. (2025),included,full text,tech_material,country-by-country regressions with Bai-Perron structural breaks (20 OECD countries),"20 OECD countries, 1990-2019",ecological footprint per capita (gha),renewable energy share of total energy consumption (alternative-energy indicator),negative semi-elasticity of renewable energy on EF in the initial phase; weaker after the Great Recession,initial phase of relative decoupling between GDP growth and EF (beta < 1) in most countries; patterns less evident after 2008,not tested,"mixed: relative decoupling and renewable effect in an initial phase, fading after the Great Recession",mixed,"abstract: 'Our analysis identified an initial phase of decoupling between economic growth and ecological footprint, which is accompanied by a negative estimation of the semi-elasticity between renewable energy and ecological footprint. Nevertheless, these patterns are becoming less evident after the Great Recession'",10.1016/j.indic.2024.100556,https://openalex.org/W4405309954
1886,Vázquez et al. (2023),excluded: not assessable (full text not retrievable; abstract absent or without the direction of the finding),title only,,,,,,,,,,,[no abstract],10.1016/j.spc.2023.11.001,https://openalex.org/W4388420060
1993,Sofuoğlu & Kirikkaleli (2023),excluded: full text: no explicit technology indicator and decoupling not assessed (material footprint used as a predictor of CO2),full text,tech_material,second-generation panel cointegration and long-run estimators,EURO-26 countries,CO2 emissions,none (material footprint enters as a regressor),not tested,"growth-CO2 relationship positive but statistically insignificant; MF increases CO2 overall, negative in developed and positive in developing members",not tested,n/a,,"abstract: 'MF increases the CO2 emissions. However, the positive relationship between economic growth and CO2 emissions is statistically insignificant'",10.1007/s11356-022-24078-2,https://openalex.org/W4309048196
2130,Liang et al. (2023),included,abstract,tech_material,"MRIO decoupling analysis from production, consumption and income perspectives","17 regions, 1995-2019",GHG emissions vs value added,none: decoupling assessed directly across accounting perspectives,"decoupling status differs across perspectives (e.g. Malta strong decoupling from production, expansive negative decoupling from consumption); most international pairs not strongly decoupled",coded from abstract,not stated in abstract,"mixed: perspective-dependent, weaker on a consumption basis",mixed,"abstract: Decoupling global economic growth from carbon emissions is essential for mitigating global climate change while maintaining continuous economic growth. Traditional production-side decoupling analysis alone is insufficient to capture the decoupling status between carbon emissions and the value added throughout global supply chains. This study investigates the decoupling status between value added and greenhouse gas (GHG) emissions during 1995-2019 from consumption and income perspectives. We find that the decoupling statuses of 17 regions (especially Russia, Australia, and Malta) show significa",10.1021/acs.est.3c06715,https://openalex.org/W4388411208
2444,Akyol Özcan (2024),excluded: not assessable (full text not retrievable; abstract absent or without the direction of the finding),title and abstract,,,,,,,,,,,"Through the examination of the ecological consequences of human actions, policymakers are able to distinguish certain areas in which resource use can be increased and the generation of waste diminished. This study examines the effects of foreign direct investment, gross domestic product, industrialization, renewable energy consumption, and urban population on the ecological footprints in 131 count",10.3390/systems12020059,https://openalex.org/W4391746422
2992,Llorente-González (2024),excluded: full text: secondary-material and waste flows fall outside the listed biophysical indicators,full text,displacement,"descriptive physical trade balance and terms-of-trade analysis (Eurostat Comext), single year","EU-27 trade in recyclable raw materials with the rest of the world and intra-EU, 2021","tonnes and euros per tonne of recyclable raw materials (waste, scrap, by-products)",none,not tested,not modelled,"EU-27 net importer of organic by-products (half of 32 Mt from South America) and net exporter of ferrous scrap, paper, plastic and textile waste; pattern read as consistent with EUE",n/a,,"Section 6 (p.18): 'RRM flows between the EU27 and the rest of the world entail both economic and ecological imbalances, which are in line with those predicted by the theory of ecologically unequal exchange'",10.15304/rge.33.2.9419,https://openalex.org/W4393040206
